synthetic_report_id,person_id,worker_role,report_date,site,report_type,activity,hazard,life_saving_rule,precursor_or_barrier_issue,potential_consequence,sif_potential,report_text,data_origin
SYN-OIL-001,EMP-1001,Field Engineer,2024-12-10,Gas Processing Unit,Unsafe Act,Maintenance,Electrical energy,Energy Isolation,Isolation verification failure,Electrocution,YES,Pump maintenance started before electrical isolation was verified. Observation reported by a field engineer during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-002,EMP-1002,Contractor,2025-12-29,Moran Field,Near Miss,Lifting,Suspended load,Line of Fire,Exclusion zone breach,Crush injury,YES,Worker entered lifting exclusion zone while a suspended load was moving. Observation reported by a contractor during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-003,EMP-1003,Technician,2024-07-04,Pipeline Station,Unsafe Condition,Confined Space Entry,Toxic/oxygen-deficient atmosphere,Confined Space,Gas testing failure,Asphyxiation,YES,Confined-space entry began before atmospheric testing was completed. Observation reported by a technician during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-004,EMP-1004,Supervisor,2024-10-31,Duliajan Field,Near Miss,Hot Work,Flammable vapour,Hot Work,Gas testing failure,Fire/explosion,YES,Hot work began near a hydrocarbon line without confirming gas-free conditions. Observation reported by a supervisor during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-005,EMP-1005,Contractor,2024-03-27,Gas Processing Unit,Unsafe Act,Work at Height,Fall from height,Working at Height,Fall protection failure,Fatal fall,YES,Technician worked at height with an improperly connected fall-arrest lanyard. Observation reported by a contractor during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-006,EMP-1006,Contractor,2024-08-04,Pipeline Station,Near Miss,Maintenance,Stored pressure,Energy Isolation,Pressure containment concern,High-pressure injection injury,YES,Operator noticed hydraulic leakage near pressurized equipment and stopped the job. Observation reported by a contractor during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-007,EMP-1007,Technician,2025-02-03,Drilling Site,Near Miss,Material Handling,Vehicle movement,Line of Fire,Pedestrian segregation failure,Fatal struck-by injury,YES,Forklift reversed in a marked pedestrian zone; worker stepped away before contact. Observation reported by a technician during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-008,EMP-1008,Field Engineer,2024-11-03,Gas Processing Unit,Unsafe Condition,Inspection,Slip/environmental hazard,None/Other,Housekeeping issue,Minor slip or spill impact,NO,Small oil spill was observed inside a bund and was contained before reaching drainage. Observation reported by a field engineer during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-009,EMP-1009,Technician,2025-08-03,Gas Processing Unit,Unsafe Act,Warehouse Handling,Minor hand contact,Personal Protective Equipment,PPE non-compliance,Minor hand injury,NO,Worker was found without safety gloves while handling non-hazardous packaging. Observation reported by a technician during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-010,EMP-1010,Operator,2024-07-14,Drilling Site,Unsafe Condition,Inspection,Low-severity maintenance issue,None/Other,Housekeeping issue,Minor injury unlikely,NO,Loose handrail paint was observed on an access staircase with no structural damage. Observation reported by a operator during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-011,EMP-1011,Maintenance Worker,2024-01-18,Digboi Refinery,Incident,Routine Maintenance,Hand tool,None/Other,Tool selection issue,Minor hand injury,NO,"A technician used the wrong wrench size, causing a small hand pinch with no lost time. Observation reported by a maintenance worker during operations at Digboi Refinery.",SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-012,EMP-1012,Supervisor,2024-12-12,Pipeline Station,Unsafe Condition,Housekeeping,Emergency egress obstruction,Work Authorization,Emergency access obstruction,Delayed evacuation,YES,Emergency exit access was partially blocked by temporary material. Observation reported by a supervisor during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-013,EMP-1013,Operator,2025-04-14,Digboi Refinery,Unsafe Act,Maintenance,Electrical energy,Energy Isolation,Isolation verification failure,Electrocution,YES,Pump maintenance started before electrical isolation was verified. Observation reported by a operator during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-014,EMP-1014,Field Engineer,2024-01-07,Moran Field,Near Miss,Lifting,Suspended load,Line of Fire,Exclusion zone breach,Crush injury,YES,Worker entered lifting exclusion zone while a suspended load was moving. Observation reported by a field engineer during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-015,EMP-1015,Maintenance Worker,2025-02-24,Moran Field,Unsafe Condition,Confined Space Entry,Toxic/oxygen-deficient atmosphere,Confined Space,Gas testing failure,Asphyxiation,YES,Confined-space entry began before atmospheric testing was completed. Observation reported by a maintenance worker during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-016,EMP-1016,Contractor,2026-02-28,Digboi Refinery,Near Miss,Hot Work,Flammable vapour,Hot Work,Gas testing failure,Fire/explosion,YES,Hot work began near a hydrocarbon line without confirming gas-free conditions. Observation reported by a contractor during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
